Egyesült Arab Emírségek,Abu-Dzabi
Jordánia,Ammán
Törökország,Ankara
Türkmenisztán,Aşgabat
Kazahsztán,Nur-Szultán
Irak,Bagdad
Azerbajdzsán,Baku
Brunei,Bandar Seri Begawan
Thaiföld,Bangkok
Libanon,Bejrút
Kirgizisztán,Biskek
Banglades,Dakka
Szíria,Damaszkusz
Kelet-Timor,Dili
Katar,Doha
Tádzsikisztán,Dusanbe
Vietnám,Hanoi
Pakisztán,Iszlámábád
Indonézia,Jakarta
Izrael,Jeruzsálem
Afganisztán,Kabul
Nepál,Katmandu
Malajzia,Kuala Lumpur
Kuvait,Kuvaitváros
Maldív-szigetek,Malé
Bahrein,Manáma
Omán,Maszkat
Mianmar,Nepjida
Kína,Peking
Észak-Korea,Phenjan
Palesztina,Rámalláh
Szaúd-Arábia,Rijád
Jemen,Szanaa
Dél-Korea,Szöul
Srí Lanka,Szrí Dzsajavardhanapura Kótté
Üzbegisztán,Taskent
Grúzia,Tbiliszi
Irán,Teherán
Bhután,Timpu
Japán,Tokió
Mongólia,Ulánbátor
Laosz,Vientián
